# Evaluator processed findings log — append only
# Format: [DATE] [FINDING-ID] [DISPOSITION: QUEUED|PROPOSED|REDUNDANT|CONFLICT]
# Finding ID format: [scout-date]-[title-slug]
2026-04-12 2026-04-12-agent-teams-shared-tasklist REDUNDANT
2026-04-12 2026-04-12-subagent-model-env-var REDUNDANT
2026-04-12 2026-04-12-split-merge-worktree-batch PROPOSED
2026-04-12 2026-04-12-compact-warm-cache-timing QUEUED
2026-04-12 2026-04-12-1m-context-ga CONFLICT
2026-04-12 2026-04-12-claudemd-token-cost-pruning PROPOSED
2026-04-12 2026-04-12-perplexity-computer-agent PROPOSED
2026-04-12 2026-04-12-plugin-hooks-yaml-fix QUEUED
2026-04-12 2026-04-12-universal-skill-format REDUNDANT
2026-04-12 2026-04-12-frontend-design-skill-official QUEUED
2026-04-12 2026-04-12-commit-subagents-to-repo PROPOSED
2026-04-12 2026-04-12-mcp-prompt-caching-tools REDUNDANT
2026-04-12 2026-04-12-context-buffer-reserve REDUNDANT
2026-04-13 2026-04-13-autocompact-pct-override | PROPOSED | TEST-FIRST; interacts with AUTO_COMPACT_WINDOW already in env
2026-04-13 2026-04-13-plan-v2-agent-count | PROPOSED | TEST-FIRST; token cost scales linearly, unclear ROI on small repos
2026-04-13 2026-04-13-fine-grained-tool-streaming | QUEUED | SAFE + HIGH + TRIVIAL — single env var, no downsides
2026-04-13 2026-04-13-mcp-connection-batch-size | QUEUED | SAFE + HIGH + TRIVIAL — Logan runs 5+ MCP servers
2026-04-13 2026-04-13-precompact-hook-blocking | PROPOSED | TEST-FIRST; requires hook authoring + trigger logic
2026-04-13 2026-04-13-stalled-stream-auto-abort | REDUNDANT | Automatic behavior after claude update; no config change
2026-04-13 2026-04-13-memory-leak-long-sessions | REDUNDANT | Automatic fix after claude update; no config change
2026-04-13 2026-04-13-bash-permission-bypass-patch | PROPOSED | Manual claude update required on Mac+PC; security priority
2026-04-13 2026-04-13-skill-description-1536-chars | PROPOSED | MEDIUM effort — audit + rewrite 15+ skill descriptions
2026-04-13 2026-04-13-mcp-sse-buffer-leak-fix | REDUNDANT | Automatic fix after claude update; no config change
2026-04-13 2026-04-13-subagent-invocation-quality | PROPOSED | Touches CLAUDE.md — multiplicative token cost; project-first rollout
2026-04-13 2026-04-13-perplexity-model-council | PROPOSED | Subscription + ROI review needed
2026-04-14 2026-04-14-mantle-auth-proxy | REDUNDANT | N/A to Logan's direct-API setup (Bedrock-specific); informational only
2026-04-14 2026-04-14-mcp-allowlist-env | PROPOSED | Security hardening — file already drafted (proposals/mcp-allowlist-env-security-hardening.md); needs MCP env audit before rollout
2026-04-14 2026-04-14-anthropic-aws-provider | REDUNDANT | N/A to Logan's direct-API setup (AWS EDP/enterprise-specific); informational only
2026-04-14 2026-04-14-arize-prompt-learning-claudemd | QUEUED | SAFE + HIGH + TRIVIAL — md-only addition to techniques.md (queue/add-arize-prompt-learning-technique.md)
2026-04-14 2026-04-14-powerup-lessons | PROPOSED | SAFE — requires manual Claude Code CLI session; file drafted (proposals/powerup-command-feature-discovery.md)
2026-04-14 2026-04-14-operator-pattern-allowedtools | PROPOSED | TEST-FIRST — subagent refactor required; file drafted (proposals/operator-pattern-allowedtools-scoping.md)
2026-04-14 2026-04-14-mcp-gateway-pattern | PROPOSED | REVIEW-REQUIRED — new infra component, only relevant if multi-user Claude workflows land
2026-04-14 2026-04-14-mcp-stateless-redis-sessions | PROPOSED | REVIEW-REQUIRED — informational; applies only if ASF/Courtside build self-hosted MCP server
2026-04-14 2026-04-14-mcp-circuit-breaker | PROPOSED | TEST-FIRST — hook-based wrapper; revisit after next MCP flap event
2026-04-14 2026-04-14-spec-first-plan-mode | QUEUED | SAFE + HIGH + TRIVIAL — md-only addition to patterns.md (queue/add-spec-first-plan-mode-pattern.md)
2026-04-14 2026-04-14-perplexity-session-memory-pages | PROPOSED | SAFE — external tool routing update; bundle with perplexity-model-council subscription review
2026-04-16 2026-04-16-context-mode-mcp-plugin | PROPOSED | TEST-FIRST — third-party MCP dependency; audit repo + quarantine pilot before adoption
2026-04-16 2026-04-16-worktree-cli-flag | QUEUED | SAFE + HIGH + TRIVIAL — additive CLI flag; direct upgrade to split-and-merge pattern
2026-04-16 2026-04-16-env-var-trio-effort-teams-thinking | PROPOSED | TEST-FIRST — EFFORT_LEVEL=high has material token cost; benchmark before persistent export
2026-04-16 2026-04-16-compile-time-feature-flags-inventory | PROPOSED | INTELLIGENCE — KAIROS/COORDINATOR/ULTRAPLAN/CHICAGO_MCP watchlist; add to alerts.md
2026-04-16 2026-04-16-growthbook-tengu-feature-gates | PROPOSED | INTELLIGENCE — add troubleshooting-step-0 gotcha for remote kill-switches
2026-04-16 2026-04-16-claudeignore-500-token-target | QUEUED | SAFE + HIGH + TRIVIAL — antipatterns.md addition with concrete size ceiling + .claudeignore recipe
2026-04-16 2026-04-16-tui-fullscreen-command | PROPOSED | SAFE LOW-IMPACT — bundled in v2-1-x-command-awareness.md
2026-04-16 2026-04-16-focus-command-replaces-ctrl-o | PROPOSED | SAFE LOW-IMPACT — bundled in v2-1-x-command-awareness.md
2026-04-16 2026-04-16-team-onboarding-command | PROPOSED | SAFE LOW-IMPACT — bundled in v2-1-x-command-awareness.md
2026-04-16 2026-04-16-background-monitor-plugin-manifest | PROPOSED | TEST-FIRST — new plugin surface; pilot on throwaway plugin first
2026-04-16 2026-04-16-hook-session-title-output | PROPOSED | SAFE — hook authoring work; low priority unless session list is noisy
2026-04-16 2026-04-16-exclude-dynamic-prompt-sections-flag | PROPOSED | TEST-FIRST — may strip currentDate context; one-task pilot before rollout
2026-04-16 2026-04-16-proactive-loop-alias | PROPOSED | SAFE LOW-IMPACT — bundled in v2-1-x-command-awareness.md
2026-04-16 2026-04-16-agent-skills-spec-cross-platform | PROPOSED | STRATEGIC — format portability hedge; inventory + marketplace scan
2026-04-16 2026-04-16-perplexity-comet-grok-deep-search | PROPOSED | SAFE — external routing update; bundle with perplexity-model-council subscription review

